METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59838,"{""coordinates"": [-123.11754441816697, 49.26831876046383], ""type"": ""Point""}",Fairview,MY0418,"49.26831876046383, -123.11754441816697"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,57908,"{""coordinates"": [-123.1093645967412, 49.263541218737956], ""type"": ""Point""}",Mount Pleasant,522406,"49.263541218737956, -123.1093645967412"
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,67815,"{""coordinates"": [-123.10008489085558, 49.283262553524494], ""type"": ""Point""}",Downtown,030137,"49.283262553524494, -123.10008489085558"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59968,"{""coordinates"": [-123.09471780069197, 49.26798057627058], ""type"": ""Point""}",Strathcona,TH1818,"49.26798057627058, -123.09471780069197"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,51015,"{""coordinates"": [-123.1533779473184, 49.24815681545999], ""type"": ""Point""}",Arbutus Ridge,774221,"49.24815681545999, -123.1533779473184"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59946,"{""coordinates"": [-123.106676712144, 49.268882482968586], ""type"": ""Point""}",Mount Pleasant,761803,"49.268882482968586, -123.106676712144"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50225,"{""coordinates"": [-123.10117695124202, 49.26726600021063], ""type"": ""Point""}",Mount Pleasant,A40114,"49.26726600021063, -123.10117695124202"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50225,"{""coordinates"": [-123.10218796967952, 49.267278963082056], ""type"": ""Point""}",Mount Pleasant,A40136,"49.267278963082056, -123.10218796967952"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,52823,"{""coordinates"": [-123.10619403880388, 49.26825798619574], ""type"": ""Point""}",Mount Pleasant,B30020,"49.26825798619574, -123.10619403880388"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50067,"{""coordinates"": [-123.10382305753491, 49.268216964041855], ""type"": ""Point""}",Mount Pleasant,A30018,"49.268216964041855, -123.10382305753491"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50081,"{""coordinates"": [-123.10207503524639, 49.268304965383244], ""type"": ""Point""}",Mount Pleasant,A30135,"49.268304965383244, -123.10207503524639"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50144,"{""coordinates"": [-123.11131406304773, 49.26756197590515], ""type"": ""Point""}",Mount Pleasant,B40311,"49.26756197590515, -123.11131406304773"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50158,"{""coordinates"": [-123.1120770012998, 49.26746301078756], ""type"": ""Point""}",Mount Pleasant,B40336,"49.26746301078756, -123.1120770012998"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,54285,"{""coordinates"": [-123.10196002710568, 49.267393043684656], ""type"": ""Point""}",Mount Pleasant,A40137,"49.267393043684656, -123.10196002710568"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59809,"{""coordinates"": [-123.0606161447146, 49.28125412036715], ""type"": ""Point""}",Grandview-Woodland,072131,"49.28125412036715, -123.0606161447146"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59828,"{""coordinates"": [-123.06025019942084, 49.281083403393126], ""type"": ""Point""}",Grandview-Woodland,072142,"49.281083403393126, -123.06025019942084"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59810,"{""coordinates"": [-123.05918755937628, 49.28124586576686], ""type"": ""Point""}",Grandview-Woodland,072215,"49.28124586576686, -123.05918755937628"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59825,"{""coordinates"": [-123.05831013896672, 49.281075403503664], ""type"": ""Point""}",Grandview-Woodland,072240,"49.281075403503664, -123.05831013896672"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59822,"{""coordinates"": [-123.0571606732557, 49.281066982657485], ""type"": ""Point""}",Grandview-Woodland,072316,"49.281066982657485, -123.0571606732557"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59956,"{""coordinates"": [-123.11034805306046, 49.269268383185654], ""type"": ""Point""}",Mount Pleasant,KQ1715,"49.269268383185654, -123.11034805306046"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59818,"{""coordinates"": [-123.0546722941876, 49.28145273060996], ""type"": ""Point""}",Hastings-Sunrise,KL0319,"49.28145273060996, -123.0546722941876"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59819,"{""coordinates"": [-123.05466032794254, 49.280839427122196], ""type"": ""Point""}",Hastings-Sunrise,KL0407,"49.280839427122196, -123.05466032794254"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59929,"{""coordinates"": [-123.10025976890142, 49.254848157096596], ""type"": ""Point""}",Riley Park,C80209,"49.254848157096596, -123.10025976890142"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,67827,"{""coordinates"": [-123.09645651447063, 49.28407806537951], ""type"": ""Point""}",Strathcona,010323,"49.28407806537951, -123.09645651447063"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59968,"{""coordinates"": [-123.094999438706, 49.267264417144254], ""type"": ""Point""}",Strathcona,TH1844,"49.267264417144254, -123.094999438706"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,59840,"{""coordinates"": [-123.10762901814007, 49.265686999415365], ""type"": ""Point""}",Mount Pleasant,B60115,"49.265686999415365, -123.10762901814007"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50788,"{""coordinates"": [-123.10870093719355, 49.2655929855372], ""type"": ""Point""}",Mount Pleasant,B60130,"49.2655929855372, -123.10870093719355"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50802,"{""coordinates"": [-123.10992002829143, 49.26573098798393], ""type"": ""Point""}",Mount Pleasant,B60207,"49.26573098798393, -123.10992002829143"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50799,"{""coordinates"": [-123.10983798468766, 49.26561403841655], ""type"": ""Point""}",Mount Pleasant,B60206,"49.26561403841655, -123.10983798468766"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50036,"{""coordinates"": [-123.10293795347506, 49.26610001596944], ""type"": ""Point""}",Mount Pleasant,742107,"49.26610001596944, -123.10293795347506"
Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,53291,"{""coordinates"": [-123.1047210405429, 49.26508204567186], ""type"": ""Point""}",Mount Pleasant,752214,"49.26508204567186, -123.1047210405429"
Twin / Disability,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,50463,"{""coordinates"": [-123.12051972484957, 49.26239292025677], ""type"": ""Point""}",Fairview,D00707,"49.26239292025677, -123.12051972484957"
Twin / Disability,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,50462,"{""coordinates"": [-123.12028251485086, 49.262388346015285], ""type"": ""Point""}",Fairview,D00703,"49.262388346015285, -123.12028251485086"
Pay Station,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,$1.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59986,"{""coordinates"": [-123.10599273935546, 49.27062373689215], ""type"": ""Point""}",Mount Pleasant,NA1620,"49.27062373689215, -123.10599273935546"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,57932,"{""coordinates"": [-123.10720211355672, 49.26646453678499], ""type"": ""Point""}",Mount Pleasant,B50106,"49.26646453678499, -123.10720211355672"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,59841,"{""coordinates"": [-123.10552996867274, 49.26563893131103], ""type"": ""Point""}",Mount Pleasant,B60007,"49.26563893131103, -123.10552996867274"
Single / Disability,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,67102,"{""coordinates"": [-123.1019701513948, 49.28128216428912], ""type"": ""Point""}",Downtown,070102,"49.28128216428912, -123.1019701513948"
Single / Disability,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,50296,"{""coordinates"": [-123.12105913584926, 49.26239966944245], ""type"": ""Point""}",Fairview,D00715,"49.26239966944245, -123.12105913584926"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59820,"{""coordinates"": [-123.05524948777207, 49.281058917093794], ""type"": ""Point""}",Hastings-Sunrise,072436,"49.281058917093794, -123.05524948777207"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59817,"{""coordinates"": [-123.05588078115453, 49.28122952188568], ""type"": ""Point""}",Hastings-Sunrise,072413,"49.28122952188568, -123.05588078115453"
Pay Station,$11.00,$4.00,$11.00,$4.00,$11.00,$4.00,$5.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66602,"{""coordinates"": [-123.1205470474078, 49.28591208469209], ""type"": ""Point""}",Downtown,101024,"49.28591208469209, -123.1205470474078"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59830,"{""coordinates"": [-123.10282167910016, 49.271264721368624], ""type"": ""Point""}",Mount Pleasant,SW0030,"49.271264721368624, -123.10282167910016"
Pay Station,$8.00,$3.00,$8.00,$3.00,$8.00,$3.00,$5.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,67090,"{""coordinates"": [-123.11974118720718, 49.285188001626345], ""type"": ""Point""}",Downtown,640610,"49.285188001626345, -123.11974118720718"
Pay Station,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,$1.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,67829,"{""coordinates"": [-123.09532946280544, 49.284530675302484], ""type"": ""Point""}",Strathcona,490007,"49.284530675302484, -123.09532946280544"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,57943,"{""coordinates"": [-123.10935306535855, 49.26599202703574], ""type"": ""Point""}",Mount Pleasant,522112,"49.26599202703574, -123.10935306535855"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50329,"{""coordinates"": [-123.10957193643472, 49.265267975699096], ""type"": ""Point""}",Mount Pleasant,522209,"49.265267975699096, -123.10957193643472"
Single Motorbike,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,,,,,,,13 Hrs,No,66242,"{""coordinates"": [-123.11623605597866, 49.273129653084865], ""type"": ""Point""}",Downtown,341098,"49.273129653084865, -123.11623605597866"
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51835,"{""coordinates"": [-123.14851969463632, 49.267984267237665], ""type"": ""Point""}",Kitsilano,B41906,"49.267984267237665, -123.14851969463632"
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51863,"{""coordinates"": [-123.14851969463632, 49.267984267237665], ""type"": ""Point""}",Kitsilano,B41908,"49.267984267237665, -123.14851969463632"
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51891,"{""coordinates"": [-123.14870310468439, 49.26798403133629], ""type"": ""Point""}",Kitsilano,B41910,"49.26798403133629, -123.14870310468439"
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51947,"{""coordinates"": [-123.14870310468439, 49.26798403133629], ""type"": ""Point""}",Kitsilano,B41912,"49.26798403133629, -123.14870310468439"
Single,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51975,"{""coordinates"": [-123.14972802507465, 49.26799864722475], ""type"": ""Point""}",Kitsilano,B41934,"49.26799864722475, -123.14972802507465"
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51892,"{""coordinates"": [-123.15220419459345, 49.26803657396291], ""type"": ""Point""}",Kitsilano,B42038,"49.26803657396291, -123.15220419459345"
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,57120,"{""coordinates"": [-123.15331413560989, 49.268228746216], ""type"": ""Point""}",Kitsilano,B42105,"49.268228746216, -123.15331413560989"
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,57139,"{""coordinates"": [-123.15346257707436, 49.26822854915425], ""type"": ""Point""}",Kitsilano,B42111,"49.26822854915425, -123.15346257707436"
Twin,$4.00,$2.00,$4.00,$2.00,$4.00,$2.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51948,"{""coordinates"": [-123.15712762757498, 49.26811793855317], ""type"": ""Point""}",Kitsilano,B42240,"49.26811793855317, -123.15712762757498"
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,57137,"{""coordinates"": [-123.15812316212609, 49.26829953383929], ""type"": ""Point""}",Kitsilano,B42311,"49.26829953383929, -123.15812316212609"
Twin Bay Single,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,$3.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66215,"{""coordinates"": [-123.12268810851592, 49.280858761227115], ""type"": ""Point""}",Downtown,620903,"49.280858761227115, -123.12268810851592"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56343,"{""coordinates"": [-123.10123490958115, 49.253750348644665], ""type"": ""Point""}",Riley Park,C90129,"49.253750348644665, -123.10123490958115"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56259,"{""coordinates"": [-123.10130614479729, 49.25456154715636], ""type"": ""Point""}",Riley Park,C80134,"49.25456154715636, -123.10130614479729"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,other,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,56740,"{""coordinates"": [-123.09940181111651, 49.26257833235021], ""type"": ""Point""}",Mount Pleasant,990112,"49.26257833235021, -123.09940181111651"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56462,"{""coordinates"": [-123.10047145951387, 49.25382867981897], ""type"": ""Point""}",Riley Park,C90206,"49.25382867981897, -123.10047145951387"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56704,"{""coordinates"": [-123.10047145951387, 49.25382867981897], ""type"": ""Point""}",Riley Park,C90208,"49.25382867981897, -123.10047145951387"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56873,"{""coordinates"": [-123.1003059058471, 49.25382625103618], ""type"": ""Point""}",Riley Park,C90210,"49.25382625103618, -123.1003059058471"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56269,"{""coordinates"": [-123.1003059058471, 49.25382625103618], ""type"": ""Point""}",Riley Park,C90212,"49.25382625103618, -123.1003059058471"
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,50205,"{""coordinates"": [-123.10624899382894, 49.26555604720457], ""type"": ""Point""}",Mount Pleasant,B60020,"49.26555604720457, -123.10624899382894"
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56258,"{""coordinates"": [-123.10624899382894, 49.26555604720457], ""type"": ""Point""}",Mount Pleasant,B60022,"49.26555604720457, -123.10624899382894"
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,2 Hr,2 Hr,2 Hr,2 Hr,2 Hr,2 Hr,Yes,52947,"{""coordinates"": [-123.10472593563588, 49.26499199924625], ""type"": ""Point""}",Mount Pleasant,752216,"49.26499199924625, -123.10472593563588"
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,52948,"{""coordinates"": [-123.10472593563588, 49.26499199924625], ""type"": ""Point""}",Mount Pleasant,752218,"49.26499199924625, -123.10472593563588"
